Time,Driver,DriverNumber,LapTime,LapNumber,TotalSeconds,TyreLife,Position,SpeedI1,SpeedI2,SpeedFL,SpeedST,Sector1TimeTotal,Sector2TimeTotal,Sector3TimeTotal
0 days 01:36:32.963000,ZHO,24,0 days 00:01:28.699000,20.0,88.699,2.0,17.0,231.0,278.0,274.0,299.0,32.667,29.797,26.235
0 days 01:38:02.166000,ZHO,24,0 days 00:01:29.203000,21.0,89.203,3.0,17.0,224.0,278.0,276.0,295.0,32.952,30.0,26.251
0 days 01:39:31.042000,ZHO,24,0 days 00:01:28.876000,22.0,88.876,4.0,13.0,228.0,279.0,276.0,298.0,32.745,29.863,26.268
0 days 01:40:59.603000,ZHO,24,0 days 00:01:28.561000,23.0,88.561,5.0,12.0,229.0,280.0,283.0,297.0,32.746,29.713,26.102
0 days 01:42:28.845000,ZHO,24,0 days 00:01:29.242000,24.0,89.242,6.0,12.0,228.0,281.0,284.0,319.0,32.676,30.154,26.412
0 days 01:43:58.240000,ZHO,24,0 days 00:01:29.395000,25.0,89.395,7.0,12.0,,281.0,285.0,318.0,32.687,30.487,26.221
0 days 01:45:26.488000,ZHO,24,0 days 00:01:28.248000,26.0,88.248,8.0,9.0,225.0,275.0,275.0,328.0,32.332,29.777,26.139
0 days 01:46:55.063000,ZHO,24,0 days 00:01:28.575000,27.0,88.575,9.0,7.0,227.0,278.0,275.0,293.0,32.815,29.727,26.033
0 days 01:48:23.090000,ZHO,24,0 days 00:01:28.027000,28.0,88.027,10.0,6.0,232.0,278.0,275.0,300.0,32.564,29.64,25.823
0 days 01:49:51.087000,ZHO,24,0 days 00:01:27.997000,29.0,87.997,11.0,6.0,,279.0,275.0,299.0,32.485,29.7,25.812
0 days 01:51:20.101000,ZHO,24,0 days 00:01:29.014000,30.0,89.014,12.0,7.0,227.0,281.0,276.0,293.0,33.139,29.904,25.971
0 days 01:52:48.199000,ZHO,24,0 days 00:01:28.098000,31.0,88.098,13.0,7.0,228.0,279.0,276.0,296.0,32.586,29.703,25.809
0 days 01:54:17.412000,ZHO,24,0 days 00:01:29.213000,32.0,89.213,14.0,6.0,,281.0,275.0,298.0,33.456,29.821,25.936
0 days 01:55:45.674000,ZHO,24,0 days 00:01:28.262000,33.0,88.262,15.0,4.0,230.0,279.0,275.0,297.0,32.789,29.505,25.968
0 days 01:57:13.471000,ZHO,24,0 days 00:01:27.797000,34.0,87.797,16.0,4.0,233.0,278.0,274.0,295.0,32.591,29.455,25.751
0 days 01:58:46.266000,ZHO,24,0 days 00:01:32.795000,35.0,92.795,17.0,7.0,229.0,281.0,,291.0,33.013,29.54,30.242
0 days 02:00:38.267000,ZHO,24,0 days 00:01:52.001000,36.0,112.001,1.0,15.0,235.0,279.0,276.0,173.0,56.105,29.931,25.965
0 days 02:02:05.778000,ZHO,24,0 days 00:01:27.511000,37.0,87.511,2.0,15.0,231.0,281.0,277.0,299.0,32.299,29.414,25.798
